nombre,Fecha,data
x1,2006-01-01,6.05
x1,2006-01-02,4.72
x1,2006-01-03,4.46
x1,2006-01-04,34.74
x1,2006-01-05,1.91
x1,2006-01-06,7.64
x1,2006-01-07,17.66
x1,2006-01-08,13.02
x1,2006-01-09,13.9
x1,2006-01-10,7.59
x1,2006-01-11,4.98
x1,2006-01-12,9.92
x1,2006-01-13,13.21
x1,2006-01-14,1.31
x1,2006-01-15,7.3
x1,2006-01-16,9.77
x1,2006-01-17,8.42
x1,2006-01-18,12.11
x1,2006-01-19,11.61
x1,2006-01-20,9.59
x1,2006-01-21,3.67
x1,2006-01-22,12.1
x1,2006-01-23,-3.81
x1,2006-01-24,2.94
x1,2006-01-25,9.3
x1,2006-01-26,8.56
x1,2006-01-27,7.62
x1,2006-01-28,1.91
x1,2006-01-29,13.79
x1,2006-01-30,1.19
x1,2006-01-31,10.85
x1,2006-02-01,7.43
x1,2006-02-02,11.32
x1,2006-02-03,2.31
x1,2006-02-04,4.68
x1,2006-02-05,6.56
x1,2006-02-06,4.4
x1,2006-02-07,4.2
x1,2006-02-08,11.07
x1,2006-02-09,6.37
x1,2006-02-10,3.65
x1,2006-02-11,-1.41
x1,2006-02-12,6.77
x1,2006-02-13,7.18
x1,2006-02-14,4.04
x1,2006-02-15,0.65
x1,2006-02-16,6.15
x1,2006-02-17,5.4
x1,2006-02-18,4.39
x1,2006-02-19,6.51
x1,2006-02-20,16.42
x1,2006-02-21,2.97
x1,2006-02-22,1.84
x1,2006-02-23,5.64
x1,2006-02-24,10.53
x1,2006-02-25,16.53
x1,2006-02-26,1.71
x1,2006-02-27,3.11
x1,2006-02-28,5.27
x1,2006-03-01,6.17
x1,2006-03-02,4.95
x1,2006-03-03,-1.91
x1,2006-03-04,8.92
x1,2006-03-05,-1.76
x1,2006-03-06,0.34
x1,2006-03-07,1.49
x1,2006-03-08,-0.26
x1,2006-03-09,10.81
x1,2006-03-10,4.57
x1,2006-03-11,3.3
x1,2006-03-12,4.52
x1,2006-03-13,2.06
x1,2006-03-14,2.79
x1,2006-03-15,-3.29
x1,2006-03-16,1.36
x1,2006-03-17,8.37
x1,2006-03-18,4.6
x1,2006-03-19,0.79
x1,2006-03-20,-2.57
x1,2006-03-21,5.49
x1,2006-03-22,3.99
x1,2006-03-23,2.37
