Fecha,y1,y2
01-01-06,532.88,391.88
02-01-06,532.87,392.02
03-01-06,532.8,391
04-01-06,532.72,391.47
05-01-06,532.7,391.66
06-01-06,532.63,391.7
07-01-06,532.6,391.47
08-01-06,532.59,391.5
09-01-06,532.59,391.51
10-01-06,532.54,390.91
11-01-06,532.47,391.04
12-01-06,532.41,391.28
13-01-06,532.36,391.3
14-01-06,532.31,391.13
15-01-06,532.25,391.36
16-01-06,532.23,391.23
17-01-06,532.17,391.38
18-01-06,532.13,391.43
19-01-06,532.09,391.4
20-01-06,532.04,391.56
21-01-06,532,392
22-01-06,531.97,392
23-01-06,531.96,392.08
24-01-06,531.89,391.71
25-01-06,531.82,391.88
26-01-06,531.77,392.51
27-01-06,531.78,392.38
28-01-06,531.79,392.12
29-01-06,531.79,391.82
30-01-06,531.81,391.55
31-01-06,531.78,391.56
01-02-06,531.77,391.81
02-02-06,531.74,392.06
03-02-06,531.72,391.75
04-02-06,531.68,391.9
05-02-06,531.65,391.63
06-02-06,531.64,392.09
07-02-06,531.62,391.67
08-02-06,531.56,391.86
09-02-06,531.5,392.12
10-02-06,531.46,392.39
11-02-06,531.41,392
12-02-06,531.38,392.47
13-02-06,531.38,392.05
14-02-06,531.35,391.88
15-02-06,531.32,392.12
16-02-06,531.3,391.54
17-02-06,531.26,391.85
18-02-06,531.24,391.94
19-02-06,531.22,392
20-02-06,531.22,392.22
21-02-06,531.18,391.4
22-02-06,531.11,391.58
23-02-06,531.04,391.82
24-02-06,530.98,392.26
25-02-06,530.95,392.34
26-02-06,530.95,391.92
27-02-06,530.94,392.25
28-02-06,530.92,392.12
01-03-06,530.92,392.4
02-03-06,530.86,391.37
03-03-06,530.78,391.05
04-03-06,530.67,391.05
05-03-06,530.57,392.26
06-03-06,530.51,392.12
07-03-06,530.42,391.7
08-03-06,530.31,392.46
09-03-06,530.22,392.32
10-03-06,530.14,392.62
11-03-06,530.08,391.13
12-03-06,530.02,391.9
13-03-06,529.98,391.83
14-03-06,529.89,391.65
15-03-06,529.8,391.58
16-03-06,529.7,391.68
17-03-06,529.6,392
18-03-06,529.52,392.01
19-03-06,529.46,391.47
20-03-06,529.37,392.15
21-03-06,529.28,391.55
22-03-06,529.18,392.45
23-03-06,529.1,392.02
24-03-06,529.01,391.8
25-03-06,528.93,392.16
26-03-06,528.89,391.85
27-03-06,528.86,391.78
28-03-06,528.77,391.82
29-03-06,528.69,391.92
30-03-06,528.61,391.42
31-03-06,528.51,391.68
01-04-06,528.42,392.28
02-04-06,528.38,392.44
03-04-06,528.36,392.15
04-04-06,528.28,392.03
05-04-06,528.2,392.43
06-04-06,528.13,392.39
07-04-06,528.07,391.85
08-04-06,528,391.41
09-04-06,527.96,391.76
10-04-06,527.95,391.82
11-04-06,527.91,391.82
12-04-06,527.89,392.3
13-04-06,527.81,392.14
14-04-06,527.81,392.14
15-04-06,527.8,392.42
16-04-06,527.78,391.93
17-04-06,527.76,391.74
18-04-06,527.64,391.44
19-04-06,527.5,392.4
20-04-06,527.39,392.67
21-04-06,527.3,392.1
22-04-06,527.19,392.11
23-04-06,527.11,391.6
24-04-06,527.06,391.56
25-04-06,526.97,391.7
26-04-06,526.86,392.04
27-04-06,526.78,392.23
28-04-06,526.7,391.72
29-04-06,526.6,391.7
30-04-06,526.52,391.72
01-05-06,526.47,392.22
02-05-06,526.44,391.88
03-05-06,526.34,391.58
04-05-06,526.22,391.92
05-05-06,526.06,392.22
06-05-06,525.96,392.3
07-05-06,525.89,392.3
08-05-06,525.89,391.83
09-05-06,525.82,391.16
10-05-06,525.67,390.73
11-05-06,525.65,392.49
12-05-06,525.55,391.95
13-05-06,525.47,392.05
14-05-06,525.38,391.44
15-05-06,525.33,392.07
16-05-06,525.24,392.47
17-05-06,525.16,392.22
18-05-06,525.08,392.38
19-05-06,525,392.26
20-05-06,524.92,392.41
21-05-06,524.89,392.03
22-05-06,524.89,392.22
23-05-06,524.81,391.68
24-05-06,524.71,391.53
25-05-06,524.65,391.86
26-05-06,524.62,392.43
27-05-06,524.57,391.67
28-05-06,524.5,392.04
29-05-06,524.47,391.73
30-05-06,524.42,391.36
31-05-06,524.33,391.2
01-06-06,524.28,392.12
02-06-06,524.22,392.98
03-06-06,524.2,391.76
04-06-06,524.19,391.75
05-06-06,524.21,391.93
06-06-06,524.23,391.9
07-06-06,524.24,391.8
08-06-06,524.23,391.3
09-06-06,524.29,391.72
10-06-06,524.47,392.04
11-06-06,524.56,391.65
12-06-06,524.64,391.81
13-06-06,524.61,391.03
14-06-06,524.56,391.65
15-06-06,524.63,391.46
16-06-06,524.75,391.38
17-06-06,524.93,391.9
18-06-06,525.06,390.88
19-06-06,525.14,390.96
20-06-06,525.1,390.94
21-06-06,525.1,390.69
22-06-06,525.09,391.05
23-06-06,525.06,391.8
24-06-06,525.06,391.78
25-06-06,525.09,391.83
26-06-06,525.2,391.3
27-06-06,525.22,390.05
28-06-06,525.24,390.22
